Date[yy/mm/dd]	Resource_type	Resource_name	Operation	Member_type	Member_name
19/03/20	Book	Harry_Potter	B	Undergraduate	BruceLee
19/03/21	Book	Homo_Deus	B	Undergraduate	BruceLee
19/03/22	Book	A_Book_on_C	B	Undergraduate	BruceLee
19/03/23	Book	Harry_Potter	B	Undergraduate	BruceLee
19/03/24	Book	Harry_Potter	B	Undergraduate	Tom
19/04/04	Book	Harry_Potter	R	Undergraduate	BruceLee
19/04/05	Book	Cosmos	B	Undergraduate	BruceLee
19/04/06	Book	Cosmos	B	Undergraduate	BruceLee
19/04/07	Book	Cosmos	R	Undergraduate	BruceLee
19/04/08	Book	Sapiens	R	Undergraduate	BruceLee
